hour,start_station_id,end_station_id,trip_count
2025-05-31T23:00:00,HB101,JC105,1
2025-05-31T23:00:00,HB102,HB407,1
2025-05-31T23:00:00,HB105,HB610,1
2025-05-31T23:00:00,HB505,HB402,1
2025-05-31T23:00:00,HB603,HB407,1
2025-05-31T23:00:00,HB612,JC105,1
2025-05-31T23:00:00,JC003,JC075,1
2025-05-31T23:00:00,JC009,JC082,1
2025-05-31T23:00:00,JC032,JC078,1
2025-05-31T23:00:00,JC102,JC035,1
2025-06-01T00:00:00,HB101,HB303,1
2025-06-01T00:00:00,HB101,HB401,2
2025-06-01T00:00:00,HB101,JC057,1
2025-06-01T00:00:00,HB102,JC008,1
2025-06-01T00:00:00,HB102,JC084,1
2025-06-01T00:00:00,HB103,HB201,1
2025-06-01T00:00:00,HB105,HB304,2
2025-06-01T00:00:00,HB105,JC009,1
2025-06-01T00:00:00,HB105,JC022,1
2025-06-01T00:00:00,HB105,JC024,1
2025-06-01T00:00:00,HB201,HB505,1
2025-06-01T00:00:00,HB202,HB407,1
2025-06-01T00:00:00,HB203,HB202,1
2025-06-01T00:00:00,HB203,JC032,1
2025-06-01T00:00:00,HB304,HB201,1
2025-06-01T00:00:00,HB305,HB601,1
2025-06-01T00:00:00,HB402,HB612,1
2025-06-01T00:00:00,HB402,JC105,1
2025-06-01T00:00:00,HB407,HB303,1
2025-06-01T00:00:00,HB407,HB601,1
2025-06-01T00:00:00,HB501,HB303,2
2025-06-01T00:00:00,HB501,HB601,1
2025-06-01T00:00:00,HB501,HB611,1
2025-06-01T00:00:00,HB502,HB105,2
2025-06-01T00:00:00,HB502,HB202,1
2025-06-01T00:00:00,HB502,HB611,1
2025-06-01T00:00:00,HB602,HB501,1
2025-06-01T00:00:00,HB602,HB611,1
2025-06-01T00:00:00,HB608,HB102,2
2025-06-01T00:00:00,HB609,HB304,2
2025-06-01T00:00:00,HB609,HB506,1
2025-06-01T00:00:00,HB609,JC014,1
2025-06-01T00:00:00,HB611,HB202,1
2025-06-01T00:00:00,HB612,HB401,1
2025-06-01T00:00:00,HB612,HB608,2
2025-06-01T00:00:00,HB612,JC105,2
2025-06-01T00:00:00,JC003,HB203,2
2025-06-01T00:00:00,JC006,JC013,1
2025-06-01T00:00:00,JC008,JC008,1
2025-06-01T00:00:00,JC009,JC110,1
2025-06-01T00:00:00,JC019,JC095,1
2025-06-01T00:00:00,JC032,HB401,1
2025-06-01T00:00:00,JC032,JC024,1
2025-06-01T00:00:00,JC032,JC053,2
2025-06-01T00:00:00,JC052,JC107,1
